latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
45.057294,-66.751303,010,029,5249,2188,2026-04-06,1513,L8,H,D
45.057564,-66.751292,010,029,5249,2187,2026-04-06,1513,L8,H,D
48.253292,-79.021703,018,027,2742,929,2026-04-06,1602,L9,M,D
48.253292,-79.021703,018,026,1532,6219,2026-04-06,1602,L9,M,D
48.253562,-79.021692,018,027,2742,928,2026-04-06,1602,L9,M,D
48.253562,-79.021692,018,026,1532,6218,2026-04-06,1602,L9,M,D
42.907995,-79.383757,018,030,5985,4895,2026-04-06,1603,L9,M,D
42.908,-79.384124,018,030,5984,4895,2026-04-06,1603,L9,L,D
43.121751,-79.173099,018,030,6541,4092,2026-04-06,1603,L9,H,D
43.121757,-79.173468,018,030,6540,4092,2026-04-06,1603,L9,H,D
43.132446,-79.324744,018,030,6129,4061,2026-04-06,1603,L9,H,D
43.132452,-79.325113,018,030,6128,4061,2026-04-06,1603,L9,L,D
43.132716,-79.324737,018,030,6129,4060,2026-04-06,1603,L9,H,D
43.132722,-79.325105,018,030,6128,4060,2026-04-06,1603,L9,M,D
43.197429,-79.192627,018,030,6482,3813,2026-04-06,1603,L9,M,D
43.268083,-79.799743,018,030,4834,3581,2026-04-06,1603,L9,M,D
43.2684,-79.804173,018,030,4822,3580,2026-04-06,1603,L9,H,D
43.273757,-79.82588,018,030,4763,3561,2026-04-06,1603,L9,H,D
43.273761,-79.82625,018,030,4762,3561,2026-04-06,1603,L9,H,D
43.277257,-79.824704,018,030,4766,3548,2026-04-06,1603,L9,H,D
43.277527,-79.824699,018,030,4766,3547,2026-04-06,1603,L9,H,D
43.674289,-79.476837,018,029,4420,7343,2026-04-06,1603,L9,H,D
43.792831,-79.213183,018,029,5119,6890,2026-04-06,1603,L9,H,D
43.792831,-79.213183,018,030,6379,1610,2026-04-06,1603,L9,H,D
43.858959,-79.061145,018,029,5521,6636,2026-04-06,1603,L9,H,D
43.858959,-79.061145,018,030,6781,1356,2026-04-06,1603,L9,H,D
43.872124,-79.240312,018,030,6300,1318,2026-04-06,1603,L9,H,D
43.872124,-79.240312,018,029,5040,6598,2026-04-06,1603,L9,H,D
43.872394,-79.240304,018,030,6300,1317,2026-04-06,1603,L9,H,D
43.872394,-79.240304,018,029,5040,6597,2026-04-06,1603,L9,H,D
43.924107,-78.740637,018,029,6373,6373,2026-04-06,1603,L9,H,D
44.404388,-78.559844,018,029,6804,4581,2026-04-06,1603,L9,H,D
44.443046,-78.511487,018,029,6928,4434,2026-04-06,1603,L9,H,D
44.494277,-79.897122,018,029,3250,4325,2026-04-06,1603,L9,H,D
44.494547,-79.897117,018,029,3250,4324,2026-04-06,1603,L9,H,D
44.511565,-79.064915,018,029,5454,4220,2026-04-06,1603,L9,H,D
44.544258,-79.898822,018,029,3243,4140,2026-04-06,1603,L9,H,D
44.544262,-79.8992,018,029,3242,4140,2026-04-06,1603,L9,H,D
44.544528,-79.898817,018,029,3243,4139,2026-04-06,1603,L9,H,D
44.593826,-80.002586,018,029,2966,3960,2026-04-06,1603,L9,H,D
37.973436,-80.75959,018,033,6151,7364,2026-04-06,1604,L9,H,D
38.158901,-81.66575,018,033,3503,6672,2026-04-06,1604,L9,L,D
38.159171,-81.665752,018,033,3503,6671,2026-04-06,1604,L9,H,D
38.159173,-81.66541,018,033,3504,6671,2026-04-06,1604,L9,H,D
38.15944,-81.666097,018,033,3502,6670,2026-04-06,1604,L9,H,D
38.159442,-81.665754,018,033,3503,6670,2026-04-06,1604,L9,H,D
38.159443,-81.665412,018,033,3504,6670,2026-04-06,1604,L9,H,D
38.15971,-81.666099,018,033,3502,6669,2026-04-06,1604,L9,H,D
38.159712,-81.665757,018,033,3503,6669,2026-04-06,1604,L9,H,D
38.159714,-81.665415,018,033,3504,6669,2026-04-06,1604,L9,H,D
38.159982,-81.665759,018,033,3503,6668,2026-04-06,1604,L9,H,D
38.185194,-81.54815,018,033,3847,6577,2026-04-06,1604,L9,H,D
38.185465,-81.548152,018,033,3847,6576,2026-04-06,1604,L9,H,D
38.185466,-81.547809,018,033,3848,6576,2026-04-06,1604,L9,L,D
38.279205,-80.957182,018,033,5572,6234,2026-04-06,1604,L9,H,D
38.366197,-82.597899,018,033,794,5872,2026-04-06,1604,L9,H,D
38.378145,-82.594041,018,033,806,5828,2026-04-06,1604,L9,H,D
38.378415,-82.594047,018,033,806,5827,2026-04-06,1604,L9,H,D
38.383219,-82.598617,018,033,793,5809,2026-04-06,1604,L9,H,D
38.46071,-81.931904,018,033,2737,5549,2026-04-06,1604,L9,H,D
38.537995,-81.969732,018,033,2630,5262,2026-04-06,1604,L9,L,D
38.537997,-81.969387,018,033,2631,5262,2026-04-06,1604,L9,H,D
38.538611,-82.771396,018,033,301,5225,2026-04-06,1604,L9,M,D
38.60203,-81.00936,018,033,5420,5040,2026-04-06,1604,L9,L,D
38.709172,-82.347087,018,033,1543,4615,2026-04-06,1604,L9,H,D
38.70918,-82.346397,018,033,1545,4615,2026-04-06,1604,L9,L,D
38.709184,-82.346052,018,033,1546,4615,2026-04-06,1604,L9,H,D
38.709442,-82.347092,018,033,1543,4614,2026-04-06,1604,L9,H,D
38.709446,-82.346747,018,033,1544,4614,2026-04-06,1604,L9,H,D
38.70945,-82.346402,018,033,1545,4614,2026-04-06,1604,L9,H,D
38.709454,-82.346057,018,033,1546,4614,2026-04-06,1604,L9,H,D
38.709724,-82.346062,018,033,1546,4613,2026-04-06,1604,L9,H,D
38.865643,-81.868009,018,033,2937,4053,2026-04-06,1604,L9,L,D
38.865914,-81.868013,018,033,2937,4052,2026-04-06,1604,L9,H,D
38.865916,-81.867667,018,033,2938,4052,2026-04-06,1604,L9,H,D
38.866184,-81.868016,018,033,2937,4051,2026-04-06,1604,L9,H,D
38.946421,-82.630577,018,033,737,3724,2026-04-06,1604,L9,L,D
38.946426,-82.630231,018,033,738,3724,2026-04-06,1604,L9,H,D
38.982904,-80.726426,018,033,6237,3630,2026-04-06,1604,L9,M,D
38.983174,-80.726425,018,033,6237,3629,2026-04-06,1604,L9,M,D
39.105701,-80.568775,018,033,6690,3174,2026-04-06,1604,L9,H,D
